"level","unit_id","unit_title","passage_id","passage_order","sentence_id","sentence_order","sentence_pattern_id","pattern_name","pattern_cefr","is_new_sentence_pattern","lesson_id","lesson_title","sentence","translation","grammar","occurrence_id","token_order","token_id","lexeme_id","sense_id","type","answer","lemma","prompt","prompt_type","partOfSpeech","dictionary_pos","context_pos","semanticRole","chunk_id","chunk_text","chunk_translation","chunk_order","chunk_note","pattern_id","kk_us","ipa_us","ipa_standalone","ipa_in_sentence","kk","ipa","syllables","stress_syllable","display_syllables","note","audio_method","audio_status","word_audio_source","audio_source","sentence_audio_source","license","is_new_word","is_new_pattern","is_new_combination","is_new_content","qa_status"
"B2","b2-u01","深入表達觀點與立場","b2-u01-p01","1","b2-u01-l01-s01","1","b2-u01-l01-pattern","opinion framing with in my view","B2","TRUE","b2-u01-l01","說明立場的好處","In my view the proposal offers several practical benefits.","依我看，這項提案帶來幾個實際的好處。","opinion framing with in my view","b2-u01-l01-p01-s01-t01","1","in-in-preposition","in","in-preposition-01","word","In","in","在……裡／依照","grammar","preposition 介系詞","preposition 介系詞","preposition 介系詞","片語關係","in-my-view","in my view","依我看","1","較正式地引出個人觀點。","b2-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","FALSE","TRUE","TRUE","TRUE","pilot_review_required"
"B2","b2-u01","深入表達觀點與立場","b2-u01-p01","1","b2-u01-l01-s01","1","b2-u01-l01-pattern","opinion framing with in my view","B2","TRUE","b2-u01-l01","說明立場的好處","In my view the proposal offers several practical benefits.","依我看，這項提案帶來幾個實際的好處。","opinion framing with in my view","b2-u01-l01-p01-s01-t02","2","my-my-determiner","my","my-determiner-01","word","my","my","我的","grammar","determiner 限定詞","determiner 限定詞","determiner 限定詞","指稱或限定","in-my-view","in my view","依我看","1","較正式地引出個人觀點。","b2-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","FALSE","FALSE","TRUE","FALSE","pilot_review_required"
"B2","b2-u01","深入表達觀點與立場","b2-u01-p01","1","b2-u01-l01-s01","1","b2-u01-l01-pattern","opinion framing with in my view","B2","TRUE","b2-u01-l01","說明立場的好處","In my view the proposal offers several practical benefits.","依我看，這項提案帶來幾個實際的好處。","opinion framing with in my view","b2-u01-l01-p01-s01-t03","3","view-view-noun","view","view-noun-01","word","view","view","觀點","meaning","noun 名詞","noun 名詞","noun 名詞","核心內容","in-my-view","in my view","依我看","1","較正式地引出個人觀點。","b2-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","TRUE","FALSE","TRUE","TRUE","pilot_review_required"
"B2","b2-u01","深入表達觀點與立場","b2-u01-p01","1","b2-u01-l01-s01","1","b2-u01-l01-pattern","opinion framing with in my view","B2","TRUE","b2-u01-l01","說明立場的好處","In my view the proposal offers several practical benefits.","依我看，這項提案帶來幾個實際的好處。","opinion framing with in my view","b2-u01-l01-p01-s01-t04","4","the-the-determiner","the","the-determiner-01","word","the","the","定冠詞（中文通常不翻譯）","grammar","determiner 限定詞","determiner 限定詞","determiner 限定詞","指稱或限定","","","","","","b2-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","FALSE","FALSE","FALSE","FALSE","pilot_review_required"
"B2","b2-u01","深入表達觀點與立場","b2-u01-p01","1","b2-u01-l01-s01","1","b2-u01-l01-pattern","opinion framing with in my view","B2","TRUE","b2-u01-l01","說明立場的好處","In my view the proposal offers several practical benefits.","依我看，這項提案帶來幾個實際的好處。","opinion framing with in my view","b2-u01-l01-p01-s01-t05","5","proposal-proposal-noun","proposal","proposal-noun-01","word","proposal","proposal","提案","meaning","noun 名詞","noun 名詞","noun 名詞","核心內容","","","","","","b2-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","TRUE","FALSE","FALSE","TRUE","pilot_review_required"
"B2","b2-u01","深入表達觀點與立場","b2-u01-p01","1","b2-u01-l01-s01","1","b2-u01-l01-pattern","opinion framing with in my view","B2","TRUE","b2-u01-l01","說明立場的好處","In my view the proposal offers several practical benefits.","依我看，這項提案帶來幾個實際的好處。","opinion framing with in my view","b2-u01-l01-p01-s01-t06","6","offer-offers-verb","offer","offer-verb-01","word","offers","offer","提供","meaning","verb 動詞","verb 動詞","verb 動詞","動作或狀態","","","","","","b2-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","TRUE","FALSE","FALSE","TRUE","pilot_review_required"
"B2","b2-u01","深入表達觀點與立場","b2-u01-p01","1","b2-u01-l01-s01","1","b2-u01-l01-pattern","opinion framing with in my view","B2","TRUE","b2-u01-l01","說明立場的好處","In my view the proposal offers several practical benefits.","依我看，這項提案帶來幾個實際的好處。","opinion framing with in my view","b2-u01-l01-p01-s01-t07","7","several-several-determiner","several","several-determiner-01","word","several","several","幾個","grammar","determiner 限定詞","determiner 限定詞","determiner 限定詞","指稱或限定","","","","","","b2-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","TRUE","FALSE","FALSE","TRUE","pilot_review_required"
"B2","b2-u01","深入表達觀點與立場","b2-u01-p01","1","b2-u01-l01-s01","1","b2-u01-l01-pattern","opinion framing with in my view","B2","TRUE","b2-u01-l01","說明立場的好處","In my view the proposal offers several practical benefits.","依我看，這項提案帶來幾個實際的好處。","opinion framing with in my view","b2-u01-l01-p01-s01-t08","8","practical-practical-adjective","practical","practical-adjective-01","word","practical","practical","實際的","meaning","adjective 形容詞","adjective 形容詞","adjective 形容詞","特徵描述","","","","","","b2-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","TRUE","FALSE","FALSE","TRUE","pilot_review_required"
"B2","b2-u01","深入表達觀點與立場","b2-u01-p01","1","b2-u01-l01-s01","1","b2-u01-l01-pattern","opinion framing with in my view","B2","TRUE","b2-u01-l01","說明立場的好處","In my view the proposal offers several practical benefits.","依我看，這項提案帶來幾個實際的好處。","opinion framing with in my view","b2-u01-l01-p01-s01-t09","9","benefit-benefits-noun","benefit","benefit-noun-01","word","benefits","benefit","使……受益／好處（依句中用法）","meaning","noun 名詞","noun 名詞","noun 名詞","核心內容","","","","","","b2-u01-l01-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","TRUE","FALSE","FALSE","TRUE","pilot_review_required"
"B2","b2-u01","深入表達觀點與立場","b2-u01-p01","1","b2-u01-l02-s01","2","b2-u01-l02-pattern","concession before a position","B2","TRUE","b2-u01-l02","承認疑慮後表態","Although I understand your concern I support the change.","雖然我理解你的疑慮，但我支持這項改變。","concession before a position","b2-u01-l02-p01-s01-t01","1","although-although-conjunction","although","although-conjunction-01","word","Although","although","雖然","grammar","conjunction 連接詞","conjunction 連接詞","conjunction 連接詞","子句連接","although-i-understand-your-concern","although I understand your concern","雖然我理解你的疑慮","1","先承認對方觀點，再提出自己的立場。","b2-u01-l02-pattern","","","","","","","","","","","web_speech_fallback","pending","","","","","FALSE","TRUE","TRUE","TRUE","pilot_review_required"
