"level","unit_id","unit_title","passage_id","passage_order","sentence_id","sentence_order","sentence_pattern_id","pattern_name","pattern_cefr","is_new_sentence_pattern","lesson_id","lesson_title","sentence","translation","grammar","occurrence_id","token_order","token_id","lexeme_id","sense_id","type","answer","lemma","prompt","prompt_type","partOfSpeech","dictionary_pos","context_pos","semanticRole","chunk_id","chunk_text","chunk_translation","chunk_order","chunk_note","pattern_id","kk_us","ipa_us","ipa_standalone","ipa_in_sentence","kk","ipa","syllables","stress_syllable","display_syllables","note","audio_method","audio_status","word_audio_source","audio_source","sentence_audio_source","license","is_new_word","is_new_pattern","is_new_combination","is_new_content","qa_status"
"A1","a1-u1","打招呼與自我介紹","a1-u1-l1-p01","1","a1-u1-l1-p01-s01","1","be-identification","主詞 + be + 身分／名稱","A1","TRUE","a1-u1-l1","我是誰","I am Amy.","我是 Amy。","主詞 I 搭配 be 動詞 am","a1-u1-l1-t01","1","i","i","i-general","word","I","I","我","meaning","pronoun 代名詞","pronoun 代名詞","pronoun 代名詞","指稱","","","","","","","/aɪ/","/aɪ/","/aɪ/","","/aɪ/","/aɪ/","I","單音節","I","英文的 I 永遠要大寫。","not_configured","pending","","","","pending","TRUE","FALSE","FALSE","TRUE","v3規則已通過；句中發音、音訊與授權待人工複核"
"A1","a1-u1","打招呼與自我介紹","a1-u1-l1-p01","1","a1-u1-l1-p01-s01","1","be-identification","主詞 + be + 身分／名稱","A1","TRUE","a1-u1-l1","我是誰","I am Amy.","我是 Amy。","主詞 I 搭配 be 動詞 am","a1-u1-l1-t02","2","am","be","be-identification","word","am","be","是","meaning","verb 動詞","verb 動詞","verb 動詞","動作／狀態","","","","","","","/æm/","/æm/","/æm/","","/æm/","/æm/","am","單音節","am","am 只和 I 搭配。","not_configured","pending","","","","pending","TRUE","FALSE","FALSE","TRUE","v3規則已通過；句中發音、音訊與授權待人工複核"
"A1","a1-u1","打招呼與自我介紹","a1-u1-l1-p01","1","a1-u1-l1-p01-s01","1","be-identification","主詞 + be + 身分／名稱","A1","TRUE","a1-u1-l1","我是誰","I am Amy.","我是 Amy。","主詞 I 搭配 be 動詞 am","a1-u1-l1-t03","3","amy","amy","amy-general","word","Amy","Amy","Amy（人名）","meaning","proper noun 專有名詞","proper noun 專有名詞","proper noun 專有名詞","人／事物／時間","","","","","","","/ˈemɪ/","/ˈeɪ.mi/","/ˈeɪ.mi/","","/ˈemɪ/","/ˈeɪ.mi/","A-my","第一音節","A・my","","not_configured","pending","","","","pending","TRUE","FALSE","FALSE","TRUE","v3規則已通過；句中發音、音訊與授權待人工複核"
"A1","a1-u1","打招呼與自我介紹","a1-u1-l2-p01","2","a1-u1-l2-p01-s01","1","name-identification","介紹姓名","A1","TRUE","a1-u1-l2","我的名字","My name is Ben.","我的名字是 Ben。","My name is ...","a1-u1-l2-t01","1","my-initial","my","my-possessive","word","My","my","我的","meaning","determiner 限定詞","determiner 限定詞","determiner 限定詞","限定","","","","","","","/maɪ/","/maɪ/","/maɪ/","","/maɪ/","/maɪ/","My","單音節","My","","not_configured","pending","","","","pending","TRUE","FALSE","FALSE","TRUE","v3規則已通過；句中發音、音訊與授權待人工複核"
"A1","a1-u1","打招呼與自我介紹","a1-u1-l2-p01","2","a1-u1-l2-p01-s01","1","name-identification","介紹姓名","A1","TRUE","a1-u1-l2","我的名字","My name is Ben.","我的名字是 Ben。","My name is ...","a1-u1-l2-t02","2","name","name","name-general","word","name","name","名字","meaning","noun 名詞","noun 名詞","noun 名詞","人／事物／時間","","","","","","","/nem/","/neɪm/","/neɪm/","","/nem/","/neɪm/","name","單音節","name","","not_configured","pending","","","","pending","TRUE","FALSE","FALSE","TRUE","v3規則已通過；句中發音、音訊與授權待人工複核"
"A1","a1-u1","打招呼與自我介紹","a1-u1-l2-p01","2","a1-u1-l2-p01-s01","1","name-identification","介紹姓名","A1","TRUE","a1-u1-l2","我的名字","My name is Ben.","我的名字是 Ben。","My name is ...","a1-u1-l2-t03","3","is","be","be-identification","word","is","be","是","meaning","verb 動詞","verb 動詞","verb 動詞","動作／狀態","","","","","","","/ɪz/","/ɪz/","/ɪz/","","/ɪz/","/ɪz/","is","單音節","is","","not_configured","pending","","","","pending","FALSE","FALSE","FALSE","TRUE","v3規則已通過；句中發音、音訊與授權待人工複核"
"A1","a1-u1","打招呼與自我介紹","a1-u1-l2-p01","2","a1-u1-l2-p01-s01","1","name-identification","介紹姓名","A1","TRUE","a1-u1-l2","我的名字","My name is Ben.","我的名字是 Ben。","My name is ...","a1-u1-l2-t04","4","ben","ben","ben-general","word","Ben","Ben","Ben（人名）","meaning","proper noun 專有名詞","proper noun 專有名詞","proper noun 專有名詞","人／事物／時間","","","","","","","/bɛn/","/ben/","/ben/","","/bɛn/","/ben/","Ben","單音節","Ben","","not_configured","pending","","","","pending","TRUE","FALSE","FALSE","TRUE","v3規則已通過；句中發音、音訊與授權待人工複核"
"A1","a1-u1","打招呼與自我介紹","a1-u1-l3-p01","3","a1-u1-l3-p01-s01","1","fixed-social-expression","第一次見面的常用固定說法","A1","TRUE","a1-u1-l3","很高興認識你","Nice to meet you.","很高興認識你。","第一次見面時使用的常用表達。","a1-u1-l3-t01","1","nice","nice","nice-fixed-expression","word","Nice","nice","用於表達「很高興」","context","adjective 形容詞","adjective 形容詞","adjective 形容詞","一般","","","","","","","/naɪs/","/naɪs/","/naɪs/","","/naɪs/","/naɪs/","Nice","單音節","Nice","","not_configured","pending","","","","pending","TRUE","FALSE","FALSE","TRUE","v3規則已通過；句中發音、音訊與授權待人工複核"
"A1","a1-u1","打招呼與自我介紹","a1-u1-l3-p01","3","a1-u1-l3-p01-s01","1","fixed-social-expression","第一次見面的常用固定說法","A1","TRUE","a1-u1-l3","很高興認識你","Nice to meet you.","很高興認識你。","第一次見面時使用的常用表達。","a1-u1-l3-t02","2","to-infinitive","to","to-infinitive","word","to","to","不定詞標記（後接動詞原形）","grammar","infinitive marker 不定詞標記","preposition／infinitive marker 介系詞／不定詞標記","infinitive marker 不定詞標記","文法連接","to-meet","to meet","認識／見到","1","to meet 中的 to 是不定詞標記，meet 表示認識或見到。","","/tə/","/tə/","/tə/","","/tə/","/tə/","to","單音節","to","","not_configured","pending","","","","pending","TRUE","FALSE","TRUE","TRUE","v3規則已通過；句中發音、音訊與授權待人工複核"
"A1","a1-u1","打招呼與自我介紹","a1-u1-l3-p01","3","a1-u1-l3-p01-s01","1","fixed-social-expression","第一次見面的常用固定說法","A1","TRUE","a1-u1-l3","很高興認識你","Nice to meet you.","很高興認識你。","第一次見面時使用的常用表達。","a1-u1-l3-t03","3","meet","meet","meet-general","word","meet","meet","認識／見到","meaning","verb 動詞","verb 動詞","verb 動詞","動作","to-meet","to meet","認識／見到","1","to meet 中的 to 是不定詞標記，meet 表示認識或見到。","","/mit/","/miːt/","/miːt/","","/mit/","/miːt/","meet","單音節","meet","","not_configured","pending","","","","pending","TRUE","FALSE","TRUE","TRUE","v3規則已通過；句中發音、音訊與授權待人工複核"
